,0,1
0,E:/Machine Learning/Datasets/bct\Krimesh\user1.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user10.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user100.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user11.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user12.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user13.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user14.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user15.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user16.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user17.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user18.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user19.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user2.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user20.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user21.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user22.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user23.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user24.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user25.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user26.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user27.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user28.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user29.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user3.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user30.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user31.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user32.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user33.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user34.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user35.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user36.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user37.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user38.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user39.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user4.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user40.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user41.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user42.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user43.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user44.jpg,Krimesh
